morador,numerocontrole,Bloco,DT_VISITA,DT_TERMINO,TEMPO_TOTAL_ENTREV,Idade,Pais,Estado,Cidade,Bairro_BH,Regiao_BH,T_pernoite,T_qtpernoite,T_hospedagem,T_transp,T_motivo,T_outromoivo,Dias_carnaval,Gasto_total,T_Hospedagem,Alimentacao,T_Atrativos_passeios,Transporte_interno,Compras,Ingressos,Outros,Total,Qtd_pessoas_gasto,Fonte_carnaval,Participou_anosanteriores,Evolucao,Motivo,Expectativas,Aval_geral,Aval_banheiros,Aval_seguranca,Aval_precos,Proxima_edicao,Motivo_nao,Blocos_de_Rua,Escola_samba_caricato,Eventos_privados,Palcos,T_visita_amigos,T_citytour,T_visitacultural,T_compras,T_gastronomia,Principal_patrocinador,Outr_patrocinador,Genero,Esclaridade,Estado_civil,Faixa_renda
Morador,1522,Bloco Despedida de Carnaval,14/02/2018 09:36,14/02/2018 09:41,0:05:33,47,Brasil,Minas Gerais,Belo Horizonte,Nova Suissa,Oeste,NA,NA,NA,NA,NA,NA,2,70,NA,50,NA,20,,,,70,2,Internet (site),Nao,,,Atendeu plenamente,6,10,10,9,Sim,,Sim,Sim,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Masculino,Ensino medio completo,Casado (a),"de 1 a 2 salarios (R$ 954,00 – R$ 1908,00)"
Visitantes,1523,Bloco Despedida de Carnaval,14/02/2018 09:37,14/02/2018 09:44,0:06:51,24,Brasil,Minas Gerais,Manhuaçu,NA,NA,Sim,7,Casa propria/alugada,onibus rodoviario,Sim,NA,6,400,,300,100,,,,,400,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Nao,,,Superou,6,7,8,10,Sim,,Sim,Nao,Nao,Nao,Sim,Nao,Sim,Nao,Nao,Skol,,Feminino,Ensino superior incompleto,Solteiro (a),"de 9 a 10 salarios (R$ 8434,00 – R$ 9540,00)"
Morador,1524,Bloco Despedida de Carnaval,14/02/2018 09:37,14/02/2018 09:43,0:05:33,19,Brasil,Minas Gerais,Belo Horizonte,Nova Cintra,Oeste,NA,NA,NA,NA,NA,NA,6,150,NA,100,NA,50,,,,150,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Atendeu plenamente,8,7,9,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,Uber,Masculino,Ensino superior incompleto,Solteiro (a),"de 7 a 8 salarios (R$ 6560,00 – R$ 7632,00)"
Morador,1525,Bloco Despedida de Carnaval,14/02/2018 09:38,14/02/2018 09:47,0:08:59,39,Brasil,Minas Gerais,Belo Horizonte,Santa Efigenia,Leste,NA,NA,NA,NA,NA,NA,6,388,NA,370,NA,18,,,,388,2,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Atendeu plenamente,5,7,6,9,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,,Masculino,Ensino medio completo,Solteiro (a),"de 2 a 3 salarios (R$ 1875,00 – R$ 2862,00)"
Visitantes,1526,Bloco Despedida de Carnaval,14/02/2018 09:42,14/02/2018 09:50,0:08:07,47,Brasil,Minas Gerais,Governador Valadares,NA,NA,Sim,15,Casa de Amigos/Parentes,Trem,Nao,Lazer,6,965,,570,50,180,,80,85,965,1,Amigos/Familiares,Nao,,,Indiferente,10,7,10,9,Nao,Viagem,Sim,Nao,Sim,Nao,Sim,Nao,Nao,Nao,Nao,Prefeitura,Skol,Feminino,Ensino superior completo,Divorciado (a),"de 1 a 2 salarios (R$ 954,00 – R$ 1908,00)"
Morador,1527,Bloco Despedida de Carnaval,14/02/2018 09:43,14/02/2018 09:47,0:04:31,17,Brasil,Minas Gerais,Belo Horizonte,Salgado Filho,Oeste,NA,NA,NA,NA,NA,NA,6,180,NA,120,NA,50,10,,,180,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Atendeu plenamente,6,6,9,9,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Masculino,Ensino medio incompleto,Solteiro (a),Nao sabe
Visitantes,1528,Bloco Despedida de Carnaval,14/02/2018 09:46,14/02/2018 09:53,0:06:28,24,Brasil,Minas Gerais,Ipatinga,NA,NA,Sim,7,Casa de Amigos/Parentes,Trem,Sim,NA,6,180,,150,30,,,,,180,1,Amigos/Familiares,Nao,,,Superou,10,9,8,8,Sim,,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Skol,,Feminino,Ensino superior incompleto,Solteiro (a),"de 2 a 3 salarios (R$ 1875,00 – R$ 2862,00)"
Morador,1529,Bloco Despedida de Carnaval,14/02/2018 09:48,14/02/2018 09:54,0:06:12,20,Brasil,Minas Gerais,Belo Horizonte,Ouro Preto,Pampulha,NA,NA,NA,NA,NA,NA,6,390,NA,250,NA,100,,40,,390,1,Outro,Sim,Piorou,Banheiros,Atendeu em parte,1,4,2,7,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Masculino,Ensino superior incompleto,Solteiro (a),"de 3 a 4 salarios (R$ 2812,00 – R$ 3816,00)"
Morador,1530,Bloco Despedida de Carnaval,14/02/2018 09:49,14/02/2018 09:58,0:08:57,22,Brasil,Minas Gerais,Belo Horizonte,Santa Ines,Leste,NA,NA,NA,NA,NA,NA,5,150,NA,140,NA,10,,,,150,1,Outro,Sim,Melhorou,,Superou,2,5,7,10,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,Uber,Feminino,Ensino superior incompleto,Solteiro (a),"de 9 a 10 salarios (R$ 8434,00 – R$ 9540,00)"
Morador,1531,Bloco Despedida de Carnaval,14/02/2018 09:51,14/02/2018 09:58,0:06:18,21,Brasil,Minas Gerais,Contagem,NA,NA,NA,NA,NA,NA,NA,NA,2,80,NA,50,NA,30,,,,80,1,Internet (site),Sim,"Nem melhorou, nem piorou",,Atendeu em parte,8,4,8,7,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Nao sabe,,Feminino,Ensino superior completo,Solteiro (a),"de 5 a 6 salarios (R$ 4686,00 – R$ 5724,00)"
