morador,numerocontrole,Bloco,DT_VISITA,DT_TERMINO,TEMPO_TOTAL_ENTREV,Idade,Pais,Estado,Cidade,Bairro_BH,Regiao_BH,T_pernoite,T_qtpernoite,T_hospedagem,T_transp,T_motivo,T_outromoivo,Dias_carnaval,Gasto_total,T_Hospedagem,Alimentacao,T_Atrativos_passeios,Transporte_interno,Compras,Ingressos,Outros,Total,Qtd_pessoas_gasto,Fonte_carnaval,Participou_anosanteriores,Evolucao,Motivo,Expectativas,Aval_geral,Aval_banheiros,Aval_seguranca,Aval_precos,Proxima_edicao,Motivo_nao,Blocos_de_Rua,Escola_samba_caricato,Eventos_privados,Palcos,T_visita_amigos,T_citytour,T_visitacultural,T_compras,T_gastronomia,Principal_patrocinador,Outr_patrocinador,Genero,Esclaridade,Estado_civil,Faixa_renda
Morador,1,Tchanzinho Zona Norte,09/02/2018 17:39,09/02/2018 17:47,0:08:27,25,Brasil,Minas Gerais,Vespasiano,NA,NA,NA,NA,NA,NA,NA,NA,2,18,NA,10,NA,8,,,,18,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,"Nem melhorou, nem piorou",,Atendeu plenamente,3,2,2,4,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,,Feminino,Ensino superior completo,Solteiro (a),"de 2 a 3 salarios (R$ 1875,00 – R$ 2862,00)"
Morador,2,Tchanzinho Zona Norte,09/02/2018 17:39,09/02/2018 17:51,0:11:21,32,Brasil,Minas Gerais,Belo Horizonte,Cidade Nova,Nordeste,NA,NA,NA,NA,NA,NA,3,233,NA,70,NA,13,150,,,233,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Indiferente,7,5,7,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,,Feminino,Pos – Graduaçao – Mestrado,Solteiro (a),"de 4 a 5 salarios (R$ 3749,00 – R$ 4770,00)"
Morador,3,Tchanzinho Zona Norte,09/02/2018 17:40,09/02/2018 17:52,0:11:43,18,Brasil,Minas Gerais,Belo Horizonte,Planalto,Norte,NA,NA,NA,NA,NA,NA,6,330,NA,180,NA,50,100,,,330,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Superou,10,7,10,10,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Feminino,Ensino superior incompleto,Solteiro (a),"de 5 a 6 salarios (R$ 4686,00 – R$ 5724,00)"
Morador,4,Tchanzinho Zona Norte,09/02/2018 17:43,09/02/2018 17:55,0:12:39,40,Brasil,Minas Gerais,Belo Horizonte,Dona Clara,Pampulha,NA,NA,NA,NA,NA,NA,2,112,NA,100,NA,,12,,,112,2,Amigos/Familiares,Nao,,,Indiferente,8,10,10,7,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Brahma,,Feminino,Ensino superior completo,Casado (a),"de 6 a 7 salarios (R$ 5623,00 – R$ 6678,00)"
Morador,5,Tchanzinho Zona Norte,09/02/2018 17:49,09/02/2018 17:58,0:08:49,47,Brasil,Minas Gerais,Belo Horizonte,Paraiso,Leste,NA,NA,NA,NA,NA,NA,5,66,NA,50,NA,16,,,,66,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Atendeu plenamente,8,7,5,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Masculino,Ensino medio completo,Solteiro (a),"de 5 a 6 salarios (R$ 4686,00 – R$ 5724,00)"
Morador,6,Tchanzinho Zona Norte,09/02/2018 17:52,09/02/2018 18:03,0:10:43,23,Brasil,Minas Gerais,Belo Horizonte,Santo Agostinho,Centro sul,NA,NA,NA,NA,NA,NA,6,415,NA,300,NA,75,40,,,415,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Atendeu plenamente,7,7,8,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Ambev,Skol,Masculino,Ensino superior incompleto,Solteiro (a),"Acima de 10 salarios (acima de R$ 9540,00)"
Morador,7,Tchanzinho Zona Norte,09/02/2018 17:55,09/02/2018 18:03,0:07:38,16,Brasil,Minas Gerais,Belo Horizonte,Renascença,Nordeste,NA,NA,NA,NA,NA,NA,6,60,NA,30,NA,30,,,,60,2,Outro,Sim,Melhorou,,Atendeu plenamente,1,8,1,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,Ambev,Feminino,Ensino fundamental incompleto,Solteiro (a),"de 1 a 2 salarios (R$ 954,00 – R$ 1908,00)"
Morador,8,Tchanzinho Zona Norte,09/02/2018 17:57,09/02/2018 18:07,0:10:22,58,Brasil,Minas Gerais,Belo Horizonte,Floramar,Norte,NA,NA,NA,NA,NA,NA,6,311,NA,300,NA,11,,,,311,3,Amigos/Familiares,Sim,Melhorou,,Superou,7,5,5,10,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,,Masculino,Ensino medio completo,Casado (a),"de 2 a 3 salarios (R$ 1875,00 – R$ 2862,00)"
Morador,9,Tchanzinho Zona Norte,09/02/2018 18:03,09/02/2018 18:13,0:10:18,65,Brasil,Minas Gerais,Belo Horizonte,Floresta,Leste,NA,NA,NA,NA,NA,NA,6,4000,NA,1050,NA,300,,150,2500,4000,2,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,"Nem melhorou, nem piorou",,Superou,5,5,10,10,Sim,,Sim,Nao,Sim,Nao,NA,NA,NA,NA,NA,Blocos de rua,Belotur,Masculino,Ensino superior completo,Solteiro (a),"de 3 a 4 salarios (R$ 2812,00 – R$ 3816,00)"
Morador,10,Tchanzinho Zona Norte,09/02/2018 18:06,09/02/2018 18:13,0:07:41,25,Brasil,Minas Gerais,Belo Horizonte,Nova Suissa,Oeste,NA,NA,NA,NA,NA,NA,6,840,NA,300,NA,40,,,500,840,1,Amigos/Familiares,Sim,Melhorou,,Superou,6,5,5,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Nao sabe,,Feminino,Pos – Graduaçao – Mestrado,Outro,"de 4 a 5 salarios (R$ 3749,00 – R$ 4770,00)"
Morador,11,Tchanzinho Zona Norte,09/02/2018 18:07,09/02/2018 18:16,0:09:33,35,Brasil,Minas Gerais,Belo Horizonte,Jaragua,Pampulha,NA,NA,NA,NA,NA,NA,6,300,NA,250,NA,50,,,,300,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Atendeu plenamente,7,5,7,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,,Masculino,Ensino superior completo,Solteiro (a),"de 5 a 6 salarios (R$ 4686,00 – R$ 5724,00)"
Morador,12,Tchanzinho Zona Norte,09/02/2018 18:12,09/02/2018 18:19,0:06:47,18,Brasil,Minas Gerais,Belo Horizonte,Itapoa,Pampulha,NA,NA,NA,NA,NA,NA,6,135,NA,80,NA,30,25,,,135,2,Internet (site),Sim,Melhorou,,Superou,9,4,5,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,Uber,Feminino,Ensino medio completo,Solteiro (a),"de 3 a 4 salarios (R$ 2812,00 – R$ 3816,00)"
Visitantes,13,Tchanzinho Zona Norte,09/02/2018 18:14,09/02/2018 18:26,0:11:25,18,Brasil,Sao Paulo,Taboao da Serra,NA,NA,Sim,6,Casa de Amigos/Parentes,Aviao,Sim,NA,6,150,,150,30,,,24,,204,1,Amigos/Familiares,Nao,,,Indiferente,10,8,5,10,Sim,,Sim,Nao,Sim,Nao,Sim,Nao,Nao,Nao,Nao,Skol,Prefeitura,Feminino,Ensino medio completo,Solteiro (a),"Acima de 10 salarios (acima de R$ 9540,00)"
Morador,14,Tchanzinho Zona Norte,09/02/2018 18:18,09/02/2018 18:27,0:09:23,24,Brasil,Minas Gerais,Belo Horizonte,Santa Monica,Pampulha,NA,NA,NA,NA,NA,NA,1,450,NA,100,NA,250,100,,,450,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Nao,,,Atendeu plenamente,9,7,10,8,Nao,Viagem,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,Belotur,Feminino,Ensino superior completo,Solteiro (a),"de 8 a 9 salarios (R$ 7497,00 – R$ 8586,00)"
Morador,15,Tchanzinho Zona Norte,09/02/2018 18:18,09/02/2018 18:27,0:09:20,49,Brasil,Minas Gerais,Belo Horizonte,Dona Clara,Pampulha,NA,NA,NA,NA,NA,NA,6,45,NA,15,NA,,30,,,45,1,Outro,Sim,Piorou,Muita gente,Atendeu em parte,9,7,9,10,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Cemig,,Feminino,Ensino superior completo,Solteiro (a),"de 2 a 3 salarios (R$ 1875,00 – R$ 2862,00)"
Morador,16,Tchanzinho Zona Norte,09/02/2018 18:20,09/02/2018 18:26,0:05:58,29,Brasil,Minas Gerais,Santa Luzia,NA,NA,NA,NA,NA,NA,NA,NA,5,160,NA,100,NA,10,50,,,160,1,Outro,Sim,"Nem melhorou, nem piorou",,Atendeu plenamente,7,7,7,7,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Masculino,Ensino superior completo,Solteiro (a),"de 5 a 6 salarios (R$ 4686,00 – R$ 5724,00)"
Morador,17,Tchanzinho Zona Norte,09/02/2018 18:29,09/02/2018 18:40,0:10:43,50,Brasil,Minas Gerais,Belo Horizonte,Tupi A,Norte,NA,NA,NA,NA,NA,NA,6,150,NA,50,NA,20,,,,70,4,Amigos/Familiares,Nao,,,Atendeu plenamente,6,8,5,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,,Masculino,Ensino medio completo,Casado (a),"Ate um salario minimo (R$ 954,00 )"
Morador,18,Tchanzinho Zona Norte,09/02/2018 18:30,09/02/2018 18:37,0:07:18,24,Brasil,Minas Gerais,Belo Horizonte,Madre Gertrudes,Oeste,NA,NA,NA,NA,NA,NA,6,250,NA,200,NA,50,,,,250,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Atendeu plenamente,5,5,7,8,Sim,,Sim,Nao,Sim,Nao,NA,NA,NA,NA,NA,Prefeitura,Uber,Feminino,Ensino superior incompleto,Solteiro (a),"de 5 a 6 salarios (R$ 4686,00 – R$ 5724,00)"
Morador,19,Tchanzinho Zona Norte,09/02/2018 18:31,09/02/2018 18:38,0:07:29,28,Brasil,Minas Gerais,Belo Horizonte,Sagrada Familia,Leste,NA,NA,NA,NA,NA,NA,2,126,NA,100,NA,16,10,,,126,2,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Atendeu plenamente,5,3,3,7,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,Skol,Feminino,Ensino medio completo,Casado (a),"de 4 a 5 salarios (R$ 3749,00 – R$ 4770,00)"
Morador,20,Tchanzinho Zona Norte,09/02/2018 18:35,09/02/2018 18:42,0:07:28,22,Brasil,Minas Gerais,Belo Horizonte,Ouro Preto,Pampulha,NA,NA,NA,NA,NA,NA,6,150,NA,70,NA,50,,,,120,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Superou,7,6,8,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Feminino,Ensino medio completo,Solteiro (a),"de 5 a 6 salarios (R$ 4686,00 – R$ 5724,00)"
Morador,21,Tchanzinho Zona Norte,09/02/2018 18:40,09/02/2018 18:46,0:05:58,30,Brasil,Minas Gerais,Belo Horizonte,Santa Amelia,Pampulha,NA,NA,NA,NA,NA,NA,2,730,NA,300,NA,120,40,270,,730,1,Internet (site),Sim,Melhorou,,Atendeu plenamente,4,7,7,7,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,,Feminino,Ensino superior completo,Solteiro (a),"de 6 a 7 salarios (R$ 5623,00 – R$ 6678,00)"
Morador,22,Tchanzinho Zona Norte,09/02/2018 18:40,09/02/2018 18:46,0:05:32,34,Brasil,Minas Gerais,Belo Horizonte,Dona Clara,Pampulha,NA,NA,NA,NA,NA,NA,2,350,NA,200,NA,,100,,50,350,3,Internet (site),Nao,,,Superou,7,6,7,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,,Masculino,Ensino superior completo,Solteiro (a),"de 4 a 5 salarios (R$ 3749,00 – R$ 4770,00)"
Morador,23,Tchanzinho Zona Norte,09/02/2018 18:41,09/02/2018 19:00,0:19:08,18,Brasil,Minas Gerais,Belo Horizonte,Jardim Atlantico,Pampulha,NA,NA,NA,NA,NA,NA,3,300,NA,300,NA,,,,,300,2,Amigos/Familiares,Sim,Melhorou,,Superou,7,9,6,9,Sim,,Sim,Sim,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Masculino,Ensino superior incompleto,Solteiro (a),"de 3 a 4 salarios (R$ 2812,00 – R$ 3816,00)"
Morador,24,Tchanzinho Zona Norte,09/02/2018 18:46,09/02/2018 18:52,0:05:53,16,Brasil,Minas Gerais,Belo Horizonte,Guarani,Norte,NA,NA,NA,NA,NA,NA,6,150,NA,80,NA,50,20,,,150,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Atendeu plenamente,8,8,7,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Ambev,,Feminino,Ensino medio incompleto,Solteiro (a),"de 3 a 4 salarios (R$ 2812,00 – R$ 3816,00)"
Morador,25,Tchanzinho Zona Norte,09/02/2018 18:47,09/02/2018 18:54,0:06:53,21,Brasil,Minas Gerais,Belo Horizonte,Dona Clara,Pampulha,NA,NA,NA,NA,NA,NA,6,815,NA,300,NA,250,15,250,,815,1,Amigos/Familiares,Sim,Melhorou,,Superou,7,6,6,8,Sim,,Sim,Nao,Sim,Nao,NA,NA,NA,NA,NA,Brahma,,Masculino,Ensino superior incompleto,Solteiro (a),"de 9 a 10 salarios (R$ 8434,00 – R$ 9540,00)"
Morador,26,Tchanzinho Zona Norte,09/02/2018 18:52,09/02/2018 18:58,0:05:26,19,Brasil,Minas Gerais,Belo Horizonte,Coqueiros,Noroeste,NA,NA,NA,NA,NA,NA,6,200,NA,130,NA,40,30,,,200,2,Outro,Sim,Melhorou,,Superou,6,7,5,10,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,Brahma,Feminino,Ensino medio completo,Solteiro (a),"de 5 a 6 salarios (R$ 4686,00 – R$ 5724,00)"
Morador,27,Tchanzinho Zona Norte,09/02/2018 18:58,09/02/2018 19:08,0:09:50,42,Brasil,Minas Gerais,Belo Horizonte,Sagrada Familia,Leste,NA,NA,NA,NA,NA,NA,6,650,NA,500,NA,150,,,,650,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,"Nem melhorou, nem piorou",,Superou,1,5,8,7,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,Skol,Feminino,Ensino superior completo,Divorciado (a),"de 4 a 5 salarios (R$ 3749,00 – R$ 4770,00)"
Morador,28,Tchanzinho Zona Norte,09/02/2018 19:01,09/02/2018 19:08,0:06:28,60,Brasil,Minas Gerais,Belo Horizonte,Liberdade,Pampulha,NA,NA,NA,NA,NA,NA,3,2450,NA,2000,NA,150,,,300,2450,6,Internet (site),Nao,,,Superou,8,9,9,10,Sim,,Sim,Sim,Nao,Nao,NA,NA,NA,NA,NA,Ambev,Ambev,Feminino,Ensino superior completo,Casado (a),"de 9 a 10 salarios (R$ 8434,00 – R$ 9540,00)"
Morador,29,Tchanzinho Zona Norte,09/02/2018 19:04,09/02/2018 19:17,0:13:41,28,Brasil,Minas Gerais,Belo Horizonte,Santo Andre,Noroeste,NA,NA,NA,NA,NA,NA,6,270,NA,250,NA,20,,,,270,1,Nao sabe,Sim,Melhorou,,Indiferente,10,7,10,10,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Masculino,Ensino superior completo,Solteiro (a),"Acima de 10 salarios (acima de R$ 9540,00)"
Morador,30,Tchanzinho Zona Norte,09/02/2018 19:10,09/02/2018 19:17,0:07:04,47,Brasil,Minas Gerais,Belo Horizonte,Jaragua,Pampulha,NA,NA,NA,NA,NA,NA,4,520,NA,500,NA,20,,,,520,2,Internet (site),Sim,Melhorou,,Atendeu plenamente,1,5,7,10,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,Skol,Feminino,Ensino superior completo,Casado (a),"de 3 a 4 salarios (R$ 2812,00 – R$ 3816,00)"
Morador,31,Tchanzinho Zona Norte,09/02/2018 19:12,09/02/2018 19:21,0:08:53,63,Brasil,Minas Gerais,Belo Horizonte,Liberdade,Pampulha,NA,NA,NA,NA,NA,NA,1,30,NA,30,NA,,,,,30,1,Amigos/Familiares,Nao,,,Superou,6,10,8,10,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,,Feminino,Ensino superior completo,Viuvo (a),"de 8 a 9 salarios (R$ 7497,00 – R$ 8586,00)"
Morador,32,Tchanzinho Zona Norte,09/02/2018 19:20,09/02/2018 19:32,0:11:49,25,Brasil,Minas Gerais,Belo Horizonte,Nao respondeu,Nao respondeu,NA,NA,NA,NA,NA,NA,6,400,NA,300,NA,50,30,,,380,1,Amigos/Familiares,Sim,Melhorou,,Superou,7,8,8,7,Sim,,Sim,Sim,Nao,Nao,NA,NA,NA,NA,NA,Amstel,,Feminino,Ensino superior completo,Solteiro (a),"de 7 a 8 salarios (R$ 6560,00 – R$ 7632,00)"
Morador,33,Tchanzinho Zona Norte,09/02/2018 19:23,09/02/2018 19:29,0:06:17,31,Brasil,Minas Gerais,Belo Horizonte,Serra Verde,Venda Nova,NA,NA,NA,NA,NA,NA,3,100,NA,50,NA,50,,,,100,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Nao,,,Superou,10,5,5,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Masculino,Ensino superior completo,Solteiro (a),"de 1 a 2 salarios (R$ 954,00 – R$ 1908,00)"
Morador,34,Tchanzinho Zona Norte,09/02/2018 19:27,09/02/2018 19:33,0:06:40,30,Brasil,Minas Gerais,Belo Horizonte,Santa Branca,Pampulha,NA,NA,NA,NA,NA,NA,1,50,NA,30,NA,,,,20,50,2,Amigos/Familiares,Sim,Melhorou,,Superou,8,8,5,9,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Belotur,,Masculino,Ensino medio completo,Casado (a),"de 3 a 4 salarios (R$ 2812,00 – R$ 3816,00)"
Morador,35,Tchanzinho Zona Norte,09/02/2018 19:31,09/02/2018 19:37,0:06:18,46,Brasil,Minas Gerais,Belo Horizonte,Planalto,Norte,NA,NA,NA,NA,NA,NA,2,125,NA,70,NA,30,25,,,125,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Superou,8,8,8,9,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Outro,,Feminino,Ensino superior incompleto,Viuvo (a),"de 6 a 7 salarios (R$ 5623,00 – R$ 6678,00)"
Morador,36,Tchanzinho Zona Norte,09/02/2018 19:34,09/02/2018 19:40,0:05:14,18,Brasil,Minas Gerais,Belo Horizonte,Planalto,Norte,NA,NA,NA,NA,NA,NA,6,200,NA,150,NA,50,,,,200,1,Internet (site),Sim,Melhorou,,Superou,10,5,7,10,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,Catuaba selvagem,Masculino,Ensino medio completo,Solteiro (a),"de 6 a 7 salarios (R$ 5623,00 – R$ 6678,00)"
Morador,37,Tchanzinho Zona Norte,09/02/2018 19:36,09/02/2018 19:45,0:08:52,17,Brasil,Minas Gerais,Belo Horizonte,Cidade Nova,Nordeste,NA,NA,NA,NA,NA,NA,3,50,NA,25,NA,25,,,,50,1,Amigos/Familiares,Sim,Melhorou,,Superou,6,8,6,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,,Masculino,Ensino medio completo,Solteiro (a),"de 7 a 8 salarios (R$ 6560,00 – R$ 7632,00)"
Visitantes,38,Tchanzinho Zona Norte,09/02/2018 19:39,09/02/2018 19:48,0:08:28,27,Brasil,Minas Gerais,Passos,NA,NA,Sim,4,Casa de Amigos/Parentes,onibus rodoviario,Sim,NA,5,500,,500,50,,,,,550,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,"Nem melhorou, nem piorou",,Indiferente,7,7,7,9,Sim,,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Populaçao,,Masculino,Ensino superior completo,Solteiro (a),"de 5 a 6 salarios (R$ 4686,00 – R$ 5724,00)"
Morador,39,Tchanzinho Zona Norte,09/02/2018 19:46,09/02/2018 19:59,0:12:55,30,Brasil,Minas Gerais,Belo Horizonte,Nova Pampulha,Pampulha,NA,NA,NA,NA,NA,NA,3,320,NA,300,NA,20,,,,320,1,Amigos/Familiares,Sim,Melhorou,,Superou,1,5,1,1,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Feminino,Ensino superior completo,Solteiro (a),"de 2 a 3 salarios (R$ 1875,00 – R$ 2862,00)"
Morador,40,Tchanzinho Zona Norte,09/02/2018 19:50,09/02/2018 19:57,0:07:15,27,Brasil,Minas Gerais,Contagem,NA,NA,NA,NA,NA,NA,NA,NA,6,1300,NA,500,NA,150,150,500,,1300,2,Amigos/Familiares,Sim,Melhorou,,Atendeu plenamente,7,9,8,9,Sim,,Sim,Nao,Sim,Nao,NA,NA,NA,NA,NA,Ambev,Prefeitura,Feminino,Ensino superior completo,Solteiro (a),"de 3 a 4 salarios (R$ 2812,00 – R$ 3816,00)"
Morador,41,Tchanzinho Zona Norte,09/02/2018 19:55,09/02/2018 20:00,0:05:22,44,Brasil,Minas Gerais,Belo Horizonte,Santa Rosa,Pampulha,NA,NA,NA,NA,NA,NA,2,200,NA,200,NA,,,,,200,5,Jornais/Revistas,Nao,,,Superou,5,3,8,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Masculino,Ensino superior completo,Casado (a),"Acima de 10 salarios (acima de R$ 9540,00)"
Morador,42,Tchanzinho Zona Norte,09/02/2018 20:02,09/02/2018 20:09,0:06:57,23,Brasil,Minas Gerais,Belo Horizonte,Castelo,Pampulha,NA,NA,NA,NA,NA,NA,6,175,NA,130,NA,45,,,,175,3,Amigos/Familiares,Sim,Piorou,Muita gente,Atendeu em parte,3,8,5,6,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Nao sabe,,Feminino,Ensino superior incompleto,Solteiro (a),"de 3 a 4 salarios (R$ 2812,00 – R$ 3816,00)"
Morador,43,Tchanzinho Zona Norte,09/02/2018 20:07,09/02/2018 20:15,0:08:21,54,Brasil,Minas Gerais,Belo Horizonte,Dona Clara,Pampulha,NA,NA,NA,NA,NA,NA,3,130,NA,100,NA,30,,,,130,1,Amigos/Familiares,Sim,Melhorou,,Superou,6,8,7,9,Sim,,Sim,Sim,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,,Feminino,Ensino superior completo,Solteiro (a),"de 8 a 9 salarios (R$ 7497,00 – R$ 8586,00)"
Morador,44,Tchanzinho Zona Norte,09/02/2018 20:15,09/02/2018 20:30,0:15:49,45,Brasil,Minas Gerais,Belo Horizonte,Santa Tereza,Leste,NA,NA,NA,NA,NA,NA,6,315,NA,250,NA,15,50,,,315,2,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Superou,2,5,2,6,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,Skol,Feminino,Ensino superior completo,Divorciado (a),"de 5 a 6 salarios (R$ 4686,00 – R$ 5724,00)"
Morador,45,Tchanzinho Zona Norte,09/02/2018 20:24,09/02/2018 20:31,0:07:00,24,Brasil,Minas Gerais,Belo Horizonte,Indaia,Pampulha,NA,NA,NA,NA,NA,NA,6,1000,NA,500,NA,500,,,,1000,1,Amigos/Familiares,Sim,"Nem melhorou, nem piorou",,Atendeu plenamente,3,3,6,9,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,Uber,Feminino,Ensino superior completo,Solteiro (a),"de 3 a 4 salarios (R$ 2812,00 – R$ 3816,00)"
Morador,46,Tchanzinho Zona Norte,09/02/2018 20:34,09/02/2018 20:47,0:12:08,25,Brasil,Minas Gerais,Belo Horizonte,Conjunto Bonsucesso,Barreiro,NA,NA,NA,NA,NA,NA,6,100,NA,20,NA,20,30,,,70,1,Amigos/Familiares,Nao,,,Indiferente,2,2,2,2,Nao,Nao sabe,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,Prefeitura,Masculino,Ensino tecnico,Solteiro (a),"de 1 a 2 salarios (R$ 954,00 – R$ 1908,00)"
Morador,47,Tchanzinho Zona Norte,09/02/2018 21:05,09/02/2018 21:13,0:08:30,23,Brasil,Minas Gerais,Belo Horizonte,Santo Agostinho,Centro sul,NA,NA,NA,NA,NA,NA,4,160,NA,100,NA,60,,,,160,2,Amigos/Familiares,Sim,"Nem melhorou, nem piorou",,Atendeu plenamente,6,9,8,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,,Feminino,Ensino superior completo,Solteiro (a),"de 3 a 4 salarios (R$ 2812,00 – R$ 3816,00)"
Morador,48,Tchanzinho Zona Norte,09/02/2018 21:14,09/02/2018 21:19,0:05:04,19,Brasil,Minas Gerais,Belo Horizonte,Nao respondeu,Nao respondeu,NA,NA,NA,NA,NA,NA,2,100,NA,50,NA,50,,,,100,1,Internet (site),Nao,,,Atendeu plenamente,7,6,7,9,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,,Feminino,Ensino superior incompleto,Solteiro (a),"de 1 a 2 salarios (R$ 954,00 – R$ 1908,00)"
Morador,49,Entao Brilha,10/02/2018 6:27,10/02/2018 6:45,0:17:23,29,Brasil,Minas Gerais,Belo Horizonte,Gutierrez,Oeste,NA,NA,NA,NA,NA,NA,5,175,NA,70,NA,35,50,,20,175,2,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,"Nem melhorou, nem piorou",,Indiferente,5,1,5,5,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,,Masculino,Ensino superior completo,Solteiro (a),"de 3 a 4 salarios (R$ 2812,00 – R$ 3816,00)"
Visitantes,50,Entao Brilha,10/02/2018 6:27,10/02/2018 6:39,0:11:31,25,Brasil,Minas Gerais,Joao Monlevade,NA,NA,Sim,,,,Nao respondeu,Nao respondeu,6,280,,150,100,,30,,,280,1,Amigos/Familiares,Sim,Melhorou,,Superou,8,7,6,9,Sim,,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Skol,,Masculino,Ensino superior incompleto,Solteiro (a),"de 5 a 6 salarios (R$ 4686,00 – R$ 5724,00)"
