,index,morador,numero_controle,bloco,bloco_classificacao,dt_visita,dt_termino,tempo_total_entrev,idade,pais,estado,cidade,bairro_bh,regiao_bh,t_pernoite,t_qtpernoite,t_hospedagem,t_transp,t_motivo,t_outro_motivo,dias_carnaval,gasto_total,t_hospedagem.1,alimentacao,t_atrativos_passeios,transporte_interno,compras,ingressos,outros,total,qtd_pessoas_gasto,fonte_carnaval,participou_anos_anteriores,evolucao,motivo,expectativas,aval_geral,aval_banheiros,aval_seguranca,aval_precos,proxima_edicao,motivo_nao,blocos_de_rua,escola_samba_caricato,eventos_privados,palcos,t_visita_amigos,t_city_tour,t_visita_cultural,t_compras,t_gastronomia,principal_patrocinador,outro_patrocinador,genero,escolaridade,estado_civil,faixa_renda,int_renda,nivel_gastos,categoria_escolaridade,categoria_transporte,categoria_hospedagem,categoria_regiao,faixa_etaria
649,674,Morador,675,Baianas Ozadas,Baianas Ozadas,2018-02-12 10:27:00,2018-02-12 10:32:00,0 days 00:05:38,25,Brasil,Minas Gerais,Sabara,Desconhecido,Desconhecido,,,,,,,4,350.0,,200.0,,150.0,0.0,0.0,0.0,350.0,2.0,Amigos/Familiares,Sim,"Nem melhorou, nem piorou",Nao respondeu,Atendeu plenamente,1.0,8.0,5.0,8.0,True,Retornara,True,False,False,False,,,,,,Skol,Prefeitura,Masculino,Ensino medio completo,Solteiro (a),"De 2 a 4 salários (R$ 1.908,00 - R$ 3.816,00)",4,Baixo,Ensino Básico,,Outros,Sudeste,Adulto
650,675,Morador,676,Baianas Ozadas,Baianas Ozadas,2018-02-12 10:27:00,2018-02-12 10:31:00,0 days 00:03:46,39,Brasil,Minas Gerais,Contagem,Desconhecido,Desconhecido,,,,,,,1,100.0,,70.0,,30.0,0.0,0.0,0.0,100.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,Nao respondeu,Atendeu plenamente,7.0,7.0,7.0,9.0,True,Retornara,True,False,False,False,,,,,,Skol,Nao possui,Masculino,Ensino superior completo,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",5,Baixo,Graduado,,Outros,Sudeste,Adulto
651,676,Morador,677,Baianas Ozadas,Baianas Ozadas,2018-02-12 10:27:00,2018-02-12 10:34:00,0 days 00:07:04,47,Brasil,Minas Gerais,Belo Horizonte,Sao Cristovao,Noroeste,,,,,,,5,20.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,Jornais/Revistas,Sim,Melhorou,Nao respondeu,Atendeu plenamente,5.0,8.0,7.0,7.0,True,Retornara,True,False,False,False,,,,,,Prefeitura,Skol,Masculino,Ensino superior completo,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",5,Baixo,Graduado,,Outros,Sudeste,Meia-idade
652,677,Morador,678,Bloco Havayanas Usadas,Outros,2018-02-12 10:27:00,2018-02-12 10:37:00,0 days 00:09:28,27,Brasil,Minas Gerais,Vespasiano,Desconhecido,Desconhecido,,,,,,,5,103.0,,60.0,,25.0,18.0,0.0,0.0,103.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,Nao respondeu,Atendeu plenamente,5.0,7.0,8.0,8.0,True,Retornara,True,False,False,False,,,,,,Amstel,Skol,Feminino,Ensino superior completo,Solteiro (a),"De 2 a 4 salários (R$ 1.908,00 - R$ 3.816,00)",3,Baixo,Graduado,,Outros,Sudeste,Adulto
653,678,Morador,679,Baianas Ozadas,Baianas Ozadas,2018-02-12 10:28:00,2018-02-12 10:44:00,0 days 00:16:10,53,Brasil,Minas Gerais,Belo Horizonte,Centro,Centro sul,,,,,,,6,140.0,,10.0,,0.0,100.0,0.0,30.0,140.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,"Nem melhorou, nem piorou",Nao respondeu,Atendeu em parte,5.0,6.0,2.0,7.0,True,Retornara,True,False,False,False,,,,,,Nao sabe,Nao possui,Feminino,Pos – Graduaçao – Especializaçao,Divorciado (a),"De 2 a 4 salários (R$ 1.908,00 - R$ 3.816,00)",3,Baixo,Pós,,Outros,Sudeste,Meia-idade
654,679,Morador,680,Baianas Ozadas,Baianas Ozadas,2018-02-12 10:28:00,2018-02-12 10:34:00,0 days 00:05:58,29,Brasil,Minas Gerais,Belo Horizonte,Indaia,Pampulha,,,,,,,3,250.0,,200.0,,50.0,0.0,0.0,0.0,250.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,Nao respondeu,Atendeu plenamente,2.0,8.0,5.0,7.0,True,Retornara,True,False,False,False,,,,,,Skol,Nao possui,Masculino,Ensino superior completo,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",5,Baixo,Graduado,,Outros,Sudeste,Adulto
655,680,Morador,681,Baianas Ozadas,Baianas Ozadas,2018-02-12 10:28:00,2018-02-12 10:35:00,0 days 00:06:39,38,Brasil,Minas Gerais,Belo Horizonte,Conjunto Celso Machado,Noroeste,,,,,,,1,100.0,,100.0,,0.0,0.0,0.0,0.0,100.0,1.0,Internet (site),Sim,Melhorou,Nao respondeu,Atendeu plenamente,5.0,1.0,5.0,8.0,True,Retornara,True,False,False,False,,,,,,Ambev,Prefeitura,Masculino,Ensino superior completo,Divorciado (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",6,Baixo,Graduado,,Outros,Sudeste,Adulto
656,682,Morador,683,Baianas Ozadas,Baianas Ozadas,2018-02-12 10:29:00,2018-02-12 10:49:00,0 days 00:20:11,34,Brasil,Minas Gerais,Contagem,Desconhecido,Desconhecido,,,,,,,5,1500.0,,1000.0,,250.0,50.0,150.0,50.0,1500.0,2.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,Nao respondeu,Atendeu plenamente,5.0,6.0,8.0,9.0,True,Retornara,True,False,True,False,,,,,,Skol,Prefeitura,Masculino,Ensino superior completo,Solteiro (a),"Acima de 8 salários (acima de R$ 7.632,00)",8,Alto,Graduado,,Outros,Sudeste,Adulto
657,683,Morador,684,Baianas Ozadas,Baianas Ozadas,2018-02-12 10:30:00,2018-02-12 10:35:00,0 days 00:04:58,21,Brasil,Minas Gerais,Belo Horizonte,Sagrada Familia,Leste,,,,,,,4,200.0,,100.0,,100.0,0.0,0.0,0.0,200.0,1.0,Amigos/Familiares,Nao,Nao respondeu,Nao respondeu,Superou,4.0,6.0,5.0,9.0,True,Retornara,True,False,False,False,,,,,,Nao sabe,Nao possui,Feminino,Ensino superior incompleto,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",5,Baixo,Graduado,,Outros,Sudeste,Jovem adulto
658,684,Morador,685,Bloco Havayanas Usadas,Outros,2018-02-12 10:30:00,2018-02-12 10:37:00,0 days 00:06:32,31,Brasil,Minas Gerais,Belo Horizonte,Renascença,Nordeste,,,,,,,6,440.0,,200.0,,180.0,60.0,0.0,0.0,440.0,1.0,Internet (site),Sim,"Nem melhorou, nem piorou",Nao respondeu,Indiferente,10.0,9.0,10.0,10.0,True,Retornara,True,False,False,False,,,,,,Populaçao,Nao possui,Feminino,Ensino superior completo,Solteiro (a),"Acima de 8 salários (acima de R$ 7.632,00)",8,Baixo,Graduado,,Outros,Sudeste,Adulto
659,685,Morador,686,Baianas Ozadas,Baianas Ozadas,2018-02-12 10:30:00,2018-02-12 10:39:00,0 days 00:08:28,16,Brasil,Minas Gerais,Contagem,Desconhecido,Desconhecido,,,,,,,6,500.0,,500.0,,0.0,0.0,0.0,0.0,500.0,3.0,Amigos/Familiares,Nao,Nao respondeu,Nao respondeu,Superou,2.0,5.0,10.0,9.0,True,Retornara,True,False,False,False,,,,,,Skol,Nao possui,Masculino,Pos – Graduaçao – Doutorado,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",5,Baixo,Pós,,Outros,Sudeste,Jovem adulto
660,686,Morador,687,Baianas Ozadas,Baianas Ozadas,2018-02-12 10:32:00,2018-02-12 10:36:00,0 days 00:04:12,25,Brasil,Minas Gerais,Belo Horizonte,Lourdes,Centro sul,,,,,,,5,500.0,,400.0,,100.0,0.0,0.0,0.0,500.0,2.0,Amigos/Familiares,Sim,Melhorou,Nao respondeu,Atendeu plenamente,4.0,10.0,5.0,8.0,True,Retornara,True,False,False,False,,,,,,Skol,Nao possui,Masculino,Ensino superior incompleto,Solteiro (a),"De 1 a 2 salários (R$ 954,00 - R$ 1.908,00)",2,Baixo,Graduado,,Outros,Sudeste,Adulto
