,index,morador,numero_controle,bloco,bloco_classificacao,dt_visita,dt_termino,tempo_total_entrev,idade,pais,estado,cidade,bairro_bh,regiao_bh,t_pernoite,t_qtpernoite,t_hospedagem,t_transp,t_motivo,t_outro_motivo,dias_carnaval,gasto_total,t_hospedagem.1,alimentacao,t_atrativos_passeios,transporte_interno,compras,ingressos,outros,total,qtd_pessoas_gasto,fonte_carnaval,participou_anos_anteriores,evolucao,motivo,expectativas,aval_geral,aval_banheiros,aval_seguranca,aval_precos,proxima_edicao,motivo_nao,blocos_de_rua,escola_samba_caricato,eventos_privados,palcos,t_visita_amigos,t_city_tour,t_visita_cultural,t_compras,t_gastronomia,principal_patrocinador,outro_patrocinador,genero,escolaridade,estado_civil,faixa_renda,int_renda,nivel_gastos,categoria_escolaridade,categoria_transporte,categoria_hospedagem,categoria_regiao,faixa_etaria
0,0,Morador,1,Tchanzinho Zona Norte,Outros,2018-02-09 17:39:00,2018-02-09 17:47:00,0 days 00:08:27,25,Brasil,Minas Gerais,Vespasiano,Desconhecido,Desconhecido,,,,,,,2,18.0,,10.0,,8.0,0.0,0.0,0.0,18.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,"Nem melhorou, nem piorou",Nao respondeu,Atendeu plenamente,3.0,2.0,2.0,4.0,True,Retornara,True,False,False,False,,,,,,Prefeitura,Nao possui,Feminino,Ensino superior completo,Solteiro (a),"De 2 a 4 salários (R$ 1.908,00 - R$ 3.816,00)",3,Baixo,Graduado,,Outros,Sudeste,Adulto
1,1,Morador,2,Tchanzinho Zona Norte,Outros,2018-02-09 17:39:00,2018-02-09 17:51:00,0 days 00:11:21,32,Brasil,Minas Gerais,Belo Horizonte,Cidade Nova,Nordeste,,,,,,,3,233.0,,70.0,,13.0,150.0,0.0,0.0,233.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,Nao respondeu,Indiferente,7.0,5.0,7.0,8.0,True,Retornara,True,False,False,False,,,,,,Prefeitura,Nao possui,Feminino,Pos – Graduaçao – Mestrado,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",5,Baixo,Pós,,Outros,Sudeste,Adulto
2,2,Morador,3,Tchanzinho Zona Norte,Outros,2018-02-09 17:40:00,2018-02-09 17:52:00,0 days 00:11:43,18,Brasil,Minas Gerais,Belo Horizonte,Planalto,Norte,,,,,,,6,330.0,,180.0,,50.0,100.0,0.0,0.0,330.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,Nao respondeu,Superou,10.0,7.0,10.0,10.0,True,Retornara,True,False,False,False,,,,,,Skol,Nao possui,Feminino,Ensino superior incompleto,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",6,Baixo,Graduado,,Outros,Sudeste,Jovem adulto
3,3,Morador,4,Tchanzinho Zona Norte,Outros,2018-02-09 17:43:00,2018-02-09 17:55:00,0 days 00:12:39,40,Brasil,Minas Gerais,Belo Horizonte,Dona Clara,Pampulha,,,,,,,2,112.0,,100.0,,0.0,12.0,0.0,0.0,112.0,2.0,Amigos/Familiares,Nao,Nao respondeu,Nao respondeu,Indiferente,8.0,10.0,10.0,7.0,True,Retornara,True,False,False,False,,,,,,Brahma,Nao possui,Feminino,Ensino superior completo,Casado (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",7,Baixo,Graduado,,Outros,Sudeste,Meia-idade
4,4,Morador,5,Tchanzinho Zona Norte,Outros,2018-02-09 17:49:00,2018-02-09 17:58:00,0 days 00:08:49,47,Brasil,Minas Gerais,Belo Horizonte,Paraiso,Leste,,,,,,,5,66.0,,50.0,,16.0,0.0,0.0,0.0,66.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,Nao respondeu,Atendeu plenamente,8.0,7.0,5.0,8.0,True,Retornara,True,False,False,False,,,,,,Skol,Nao possui,Masculino,Ensino medio completo,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",6,Baixo,Ensino Básico,,Outros,Sudeste,Meia-idade
5,5,Morador,6,Tchanzinho Zona Norte,Outros,2018-02-09 17:52:00,2018-02-09 18:03:00,0 days 00:10:43,23,Brasil,Minas Gerais,Belo Horizonte,Santo Agostinho,Centro sul,,,,,,,6,415.0,,300.0,,75.0,40.0,0.0,0.0,415.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,Nao respondeu,Atendeu plenamente,7.0,7.0,8.0,8.0,True,Retornara,True,False,False,False,,,,,,Ambev,Skol,Masculino,Ensino superior incompleto,Solteiro (a),"Acima de 8 salários (acima de R$ 7.632,00)",11,Baixo,Graduado,,Outros,Sudeste,Jovem adulto
6,6,Morador,7,Tchanzinho Zona Norte,Outros,2018-02-09 17:55:00,2018-02-09 18:03:00,0 days 00:07:38,16,Brasil,Minas Gerais,Belo Horizonte,Renascença,Nordeste,,,,,,,6,60.0,,30.0,,30.0,0.0,0.0,0.0,60.0,2.0,Outro,Sim,Melhorou,Nao respondeu,Atendeu plenamente,1.0,8.0,1.0,8.0,True,Retornara,True,False,False,False,,,,,,Prefeitura,Ambev,Feminino,Ensino fundamental incompleto,Solteiro (a),"De 1 a 2 salários (R$ 954,00 - R$ 1.908,00)",2,Baixo,Ensino Básico,,Outros,Sudeste,Jovem adulto
7,7,Morador,8,Tchanzinho Zona Norte,Outros,2018-02-09 17:57:00,2018-02-09 18:07:00,0 days 00:10:22,58,Brasil,Minas Gerais,Belo Horizonte,Floramar,Norte,,,,,,,6,311.0,,300.0,,11.0,0.0,0.0,0.0,311.0,3.0,Amigos/Familiares,Sim,Melhorou,Nao respondeu,Superou,7.0,5.0,5.0,10.0,True,Retornara,True,False,False,False,,,,,,Prefeitura,Nao possui,Masculino,Ensino medio completo,Casado (a),"De 2 a 4 salários (R$ 1.908,00 - R$ 3.816,00)",3,Baixo,Ensino Básico,,Outros,Sudeste,Meia-idade
8,8,Morador,9,Tchanzinho Zona Norte,Outros,2018-02-09 18:03:00,2018-02-09 18:13:00,0 days 00:10:18,65,Brasil,Minas Gerais,Belo Horizonte,Floresta,Leste,,,,,,,6,4000.0,,1050.0,,300.0,0.0,150.0,2500.0,4000.0,2.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,"Nem melhorou, nem piorou",Nao respondeu,Superou,5.0,5.0,10.0,10.0,True,Retornara,True,False,True,False,,,,,,Blocos de rua,Belotur,Masculino,Ensino superior completo,Solteiro (a),"De 2 a 4 salários (R$ 1.908,00 - R$ 3.816,00)",4,Alto,Graduado,,Outros,Sudeste,Idoso
9,9,Morador,10,Tchanzinho Zona Norte,Outros,2018-02-09 18:06:00,2018-02-09 18:13:00,0 days 00:07:41,25,Brasil,Minas Gerais,Belo Horizonte,Nova Suissa,Oeste,,,,,,,6,840.0,,300.0,,40.0,0.0,0.0,500.0,840.0,1.0,Amigos/Familiares,Sim,Melhorou,Nao respondeu,Superou,6.0,5.0,5.0,8.0,True,Retornara,True,False,False,False,,,,,,Nao sabe,Nao possui,Feminino,Pos – Graduaçao – Mestrado,Outro,"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",5,Médio,Pós,,Outros,Sudeste,Adulto
10,10,Morador,11,Tchanzinho Zona Norte,Outros,2018-02-09 18:07:00,2018-02-09 18:16:00,0 days 00:09:33,35,Brasil,Minas Gerais,Belo Horizonte,Jaragua,Pampulha,,,,,,,6,300.0,,250.0,,50.0,0.0,0.0,0.0,300.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,Nao respondeu,Atendeu plenamente,7.0,5.0,7.0,8.0,True,Retornara,True,False,False,False,,,,,,Prefeitura,Nao possui,Masculino,Ensino superior completo,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",6,Baixo,Graduado,,Outros,Sudeste,Adulto
11,11,Morador,12,Tchanzinho Zona Norte,Outros,2018-02-09 18:12:00,2018-02-09 18:19:00,0 days 00:06:47,18,Brasil,Minas Gerais,Belo Horizonte,Itapoa,Pampulha,,,,,,,6,135.0,,80.0,,30.0,25.0,0.0,0.0,135.0,2.0,Internet (site),Sim,Melhorou,Nao respondeu,Superou,9.0,4.0,5.0,8.0,True,Retornara,True,False,False,False,,,,,,Skol,Uber,Feminino,Ensino medio completo,Solteiro (a),"De 2 a 4 salários (R$ 1.908,00 - R$ 3.816,00)",4,Baixo,Ensino Básico,,Outros,Sudeste,Jovem adulto
12,12,Visitantes,13,Tchanzinho Zona Norte,Outros,2018-02-09 18:14:00,2018-02-09 18:26:00,0 days 00:11:25,18,Brasil,Sao Paulo,Taboao da Serra,,,Sim,6.0,Casa de Amigos/Parentes,Aviao,Sim,Nao respondeu,6,150.0,0.0,150.0,30.0,0.0,0.0,24.0,0.0,204.0,1.0,Amigos/Familiares,Nao,Nao respondeu,Nao respondeu,Indiferente,10.0,8.0,5.0,10.0,True,Retornara,True,False,True,False,True,False,False,False,False,Skol,Prefeitura,Feminino,Ensino medio completo,Solteiro (a),"Acima de 8 salários (acima de R$ 7.632,00)",11,Baixo,Ensino Básico,Transporte Coletivo,Casa,Sudeste,Jovem adulto
13,13,Morador,14,Tchanzinho Zona Norte,Outros,2018-02-09 18:18:00,2018-02-09 18:27:00,0 days 00:09:23,24,Brasil,Minas Gerais,Belo Horizonte,Santa Monica,Pampulha,,,,,,,1,450.0,,100.0,,250.0,100.0,0.0,0.0,450.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Nao,Nao respondeu,Nao respondeu,Atendeu plenamente,9.0,7.0,10.0,8.0,False,Viagem,True,False,False,False,,,,,,Prefeitura,Belotur,Feminino,Ensino superior completo,Solteiro (a),"Acima de 8 salários (acima de R$ 7.632,00)",9,Baixo,Graduado,,Outros,Sudeste,Jovem adulto
14,14,Morador,15,Tchanzinho Zona Norte,Outros,2018-02-09 18:18:00,2018-02-09 18:27:00,0 days 00:09:20,49,Brasil,Minas Gerais,Belo Horizonte,Dona Clara,Pampulha,,,,,,,6,45.0,,15.0,,0.0,30.0,0.0,0.0,45.0,1.0,Outro,Sim,Piorou,Muita gente,Atendeu em parte,9.0,7.0,9.0,10.0,True,Retornara,True,False,False,False,,,,,,Cemig,Nao possui,Feminino,Ensino superior completo,Solteiro (a),"De 2 a 4 salários (R$ 1.908,00 - R$ 3.816,00)",3,Baixo,Graduado,,Outros,Sudeste,Meia-idade
15,15,Morador,16,Tchanzinho Zona Norte,Outros,2018-02-09 18:20:00,2018-02-09 18:26:00,0 days 00:05:58,29,Brasil,Minas Gerais,Santa Luzia,Desconhecido,Desconhecido,,,,,,,5,160.0,,100.0,,10.0,50.0,0.0,0.0,160.0,1.0,Outro,Sim,"Nem melhorou, nem piorou",Nao respondeu,Atendeu plenamente,7.0,7.0,7.0,7.0,True,Retornara,True,False,False,False,,,,,,Skol,Nao possui,Masculino,Ensino superior completo,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",6,Baixo,Graduado,,Outros,Sudeste,Adulto
16,16,Morador,17,Tchanzinho Zona Norte,Outros,2018-02-09 18:29:00,2018-02-09 18:40:00,0 days 00:10:43,50,Brasil,Minas Gerais,Belo Horizonte,Tupi A,Norte,,,,,,,6,150.0,,50.0,,20.0,0.0,0.0,0.0,70.0,4.0,Amigos/Familiares,Nao,Nao respondeu,Nao respondeu,Atendeu plenamente,6.0,8.0,5.0,8.0,True,Retornara,True,False,False,False,,,,,,Prefeitura,Nao possui,Masculino,Ensino medio completo,Casado (a),"Até um salário mínimo (R$ 954,00)",1,Baixo,Ensino Básico,,Outros,Sudeste,Meia-idade
17,17,Morador,18,Tchanzinho Zona Norte,Outros,2018-02-09 18:30:00,2018-02-09 18:37:00,0 days 00:07:18,24,Brasil,Minas Gerais,Belo Horizonte,Madre Gertrudes,Oeste,,,,,,,6,250.0,,200.0,,50.0,0.0,0.0,0.0,250.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,Nao respondeu,Atendeu plenamente,5.0,5.0,7.0,8.0,True,Retornara,True,False,True,False,,,,,,Prefeitura,Uber,Feminino,Ensino superior incompleto,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",6,Baixo,Graduado,,Outros,Sudeste,Jovem adulto
18,18,Morador,19,Tchanzinho Zona Norte,Outros,2018-02-09 18:31:00,2018-02-09 18:38:00,0 days 00:07:29,28,Brasil,Minas Gerais,Belo Horizonte,Sagrada Familia,Leste,,,,,,,2,126.0,,100.0,,16.0,10.0,0.0,0.0,126.0,2.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,Nao respondeu,Atendeu plenamente,5.0,3.0,3.0,7.0,True,Retornara,True,False,False,False,,,,,,Prefeitura,Skol,Feminino,Ensino medio completo,Casado (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",5,Baixo,Ensino Básico,,Outros,Sudeste,Adulto
19,19,Morador,20,Tchanzinho Zona Norte,Outros,2018-02-09 18:35:00,2018-02-09 18:42:00,0 days 00:07:28,22,Brasil,Minas Gerais,Belo Horizonte,Ouro Preto,Pampulha,,,,,,,6,150.0,,70.0,,50.0,0.0,0.0,0.0,120.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,Nao respondeu,Superou,7.0,6.0,8.0,8.0,True,Retornara,True,False,False,False,,,,,,Skol,Nao possui,Feminino,Ensino medio completo,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",6,Baixo,Ensino Básico,,Outros,Sudeste,Jovem adulto
20,20,Morador,21,Tchanzinho Zona Norte,Outros,2018-02-09 18:40:00,2018-02-09 18:46:00,0 days 00:05:58,30,Brasil,Minas Gerais,Belo Horizonte,Santa Amelia,Pampulha,,,,,,,2,730.0,,300.0,,120.0,40.0,270.0,0.0,730.0,1.0,Internet (site),Sim,Melhorou,Nao respondeu,Atendeu plenamente,4.0,7.0,7.0,7.0,True,Retornara,True,False,False,False,,,,,,Prefeitura,Nao possui,Feminino,Ensino superior completo,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",7,Médio,Graduado,,Outros,Sudeste,Adulto
21,21,Morador,22,Tchanzinho Zona Norte,Outros,2018-02-09 18:40:00,2018-02-09 18:46:00,0 days 00:05:32,34,Brasil,Minas Gerais,Belo Horizonte,Dona Clara,Pampulha,,,,,,,2,350.0,,200.0,,0.0,100.0,0.0,50.0,350.0,3.0,Internet (site),Nao,Nao respondeu,Nao respondeu,Superou,7.0,6.0,7.0,8.0,True,Retornara,True,False,False,False,,,,,,Prefeitura,Nao possui,Masculino,Ensino superior completo,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",5,Baixo,Graduado,,Outros,Sudeste,Adulto
22,22,Morador,23,Tchanzinho Zona Norte,Outros,2018-02-09 18:41:00,2018-02-09 19:00:00,0 days 00:19:08,18,Brasil,Minas Gerais,Belo Horizonte,Jardim Atlantico,Pampulha,,,,,,,3,300.0,,300.0,,0.0,0.0,0.0,0.0,300.0,2.0,Amigos/Familiares,Sim,Melhorou,Nao respondeu,Superou,7.0,9.0,6.0,9.0,True,Retornara,True,True,False,False,,,,,,Skol,Nao possui,Masculino,Ensino superior incompleto,Solteiro (a),"De 2 a 4 salários (R$ 1.908,00 - R$ 3.816,00)",4,Baixo,Graduado,,Outros,Sudeste,Jovem adulto
23,23,Morador,24,Tchanzinho Zona Norte,Outros,2018-02-09 18:46:00,2018-02-09 18:52:00,0 days 00:05:53,16,Brasil,Minas Gerais,Belo Horizonte,Guarani,Norte,,,,,,,6,150.0,,80.0,,50.0,20.0,0.0,0.0,150.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,Nao respondeu,Atendeu plenamente,8.0,8.0,7.0,8.0,True,Retornara,True,False,False,False,,,,,,Ambev,Nao possui,Feminino,Ensino medio incompleto,Solteiro (a),"De 2 a 4 salários (R$ 1.908,00 - R$ 3.816,00)",4,Baixo,Ensino Básico,,Outros,Sudeste,Jovem adulto
24,24,Morador,25,Tchanzinho Zona Norte,Outros,2018-02-09 18:47:00,2018-02-09 18:54:00,0 days 00:06:53,21,Brasil,Minas Gerais,Belo Horizonte,Dona Clara,Pampulha,,,,,,,6,815.0,,300.0,,250.0,15.0,250.0,0.0,815.0,1.0,Amigos/Familiares,Sim,Melhorou,Nao respondeu,Superou,7.0,6.0,6.0,8.0,True,Retornara,True,False,True,False,,,,,,Brahma,Nao possui,Masculino,Ensino superior incompleto,Solteiro (a),"Acima de 8 salários (acima de R$ 7.632,00)",10,Médio,Graduado,,Outros,Sudeste,Jovem adulto
25,25,Morador,26,Tchanzinho Zona Norte,Outros,2018-02-09 18:52:00,2018-02-09 18:58:00,0 days 00:05:26,19,Brasil,Minas Gerais,Belo Horizonte,Coqueiros,Noroeste,,,,,,,6,200.0,,130.0,,40.0,30.0,0.0,0.0,200.0,2.0,Outro,Sim,Melhorou,Nao respondeu,Superou,6.0,7.0,5.0,10.0,True,Retornara,True,False,False,False,,,,,,Skol,Brahma,Feminino,Ensino medio completo,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",6,Baixo,Ensino Básico,,Outros,Sudeste,Jovem adulto
26,26,Morador,27,Tchanzinho Zona Norte,Outros,2018-02-09 18:58:00,2018-02-09 19:08:00,0 days 00:09:50,42,Brasil,Minas Gerais,Belo Horizonte,Sagrada Familia,Leste,,,,,,,6,650.0,,500.0,,150.0,0.0,0.0,0.0,650.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,"Nem melhorou, nem piorou",Nao respondeu,Superou,1.0,5.0,8.0,7.0,True,Retornara,True,False,False,False,,,,,,Prefeitura,Skol,Feminino,Ensino superior completo,Divorciado (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",5,Médio,Graduado,,Outros,Sudeste,Meia-idade
27,27,Morador,28,Tchanzinho Zona Norte,Outros,2018-02-09 19:01:00,2018-02-09 19:08:00,0 days 00:06:28,60,Brasil,Minas Gerais,Belo Horizonte,Liberdade,Pampulha,,,,,,,3,2450.0,,2000.0,,150.0,0.0,0.0,300.0,2450.0,6.0,Internet (site),Nao,Nao respondeu,Nao respondeu,Superou,8.0,9.0,9.0,10.0,True,Retornara,True,True,False,False,,,,,,Ambev,Ambev,Feminino,Ensino superior completo,Casado (a),"Acima de 8 salários (acima de R$ 7.632,00)",10,Alto,Graduado,,Outros,Sudeste,Idoso
28,28,Morador,29,Tchanzinho Zona Norte,Outros,2018-02-09 19:04:00,2018-02-09 19:17:00,0 days 00:13:41,28,Brasil,Minas Gerais,Belo Horizonte,Santo Andre,Noroeste,,,,,,,6,270.0,,250.0,,20.0,0.0,0.0,0.0,270.0,1.0,Nao sabe,Sim,Melhorou,Nao respondeu,Indiferente,10.0,7.0,10.0,10.0,True,Retornara,True,False,False,False,,,,,,Skol,Nao possui,Masculino,Ensino superior completo,Solteiro (a),"Acima de 8 salários (acima de R$ 7.632,00)",11,Baixo,Graduado,,Outros,Sudeste,Adulto
29,29,Morador,30,Tchanzinho Zona Norte,Outros,2018-02-09 19:10:00,2018-02-09 19:17:00,0 days 00:07:04,47,Brasil,Minas Gerais,Belo Horizonte,Jaragua,Pampulha,,,,,,,4,520.0,,500.0,,20.0,0.0,0.0,0.0,520.0,2.0,Internet (site),Sim,Melhorou,Nao respondeu,Atendeu plenamente,1.0,5.0,7.0,10.0,True,Retornara,True,False,False,False,,,,,,Prefeitura,Skol,Feminino,Ensino superior completo,Casado (a),"De 2 a 4 salários (R$ 1.908,00 - R$ 3.816,00)",4,Médio,Graduado,,Outros,Sudeste,Meia-idade
30,30,Morador,31,Tchanzinho Zona Norte,Outros,2018-02-09 19:12:00,2018-02-09 19:21:00,0 days 00:08:53,63,Brasil,Minas Gerais,Belo Horizonte,Liberdade,Pampulha,,,,,,,1,30.0,,30.0,,0.0,0.0,0.0,0.0,30.0,1.0,Amigos/Familiares,Nao,Nao respondeu,Nao respondeu,Superou,6.0,10.0,8.0,10.0,True,Retornara,True,False,False,False,,,,,,Prefeitura,Nao possui,Feminino,Ensino superior completo,Viuvo (a),"Acima de 8 salários (acima de R$ 7.632,00)",9,Baixo,Graduado,,Outros,Sudeste,Idoso
31,31,Morador,32,Tchanzinho Zona Norte,Outros,2018-02-09 19:20:00,2018-02-09 19:32:00,0 days 00:11:49,25,Brasil,Minas Gerais,Belo Horizonte,Nao respondeu,Nao respondeu,,,,,,,6,400.0,,300.0,,50.0,30.0,0.0,0.0,380.0,1.0,Amigos/Familiares,Sim,Melhorou,Nao respondeu,Superou,7.0,8.0,8.0,7.0,True,Retornara,True,True,False,False,,,,,,Amstel,Nao possui,Feminino,Ensino superior completo,Solteiro (a),"Acima de 8 salários (acima de R$ 7.632,00)",8,Baixo,Graduado,,Outros,Sudeste,Adulto
32,32,Morador,33,Tchanzinho Zona Norte,Outros,2018-02-09 19:23:00,2018-02-09 19:29:00,0 days 00:06:17,31,Brasil,Minas Gerais,Belo Horizonte,Serra Verde,Venda Nova,,,,,,,3,100.0,,50.0,,50.0,0.0,0.0,0.0,100.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Nao,Nao respondeu,Nao respondeu,Superou,10.0,5.0,5.0,8.0,True,Retornara,True,False,False,False,,,,,,Skol,Nao possui,Masculino,Ensino superior completo,Solteiro (a),"De 1 a 2 salários (R$ 954,00 - R$ 1.908,00)",2,Baixo,Graduado,,Outros,Sudeste,Adulto
33,33,Morador,34,Tchanzinho Zona Norte,Outros,2018-02-09 19:27:00,2018-02-09 19:33:00,0 days 00:06:40,30,Brasil,Minas Gerais,Belo Horizonte,Santa Branca,Pampulha,,,,,,,1,50.0,,30.0,,0.0,0.0,0.0,20.0,50.0,2.0,Amigos/Familiares,Sim,Melhorou,Nao respondeu,Superou,8.0,8.0,5.0,9.0,True,Retornara,True,False,False,False,,,,,,Belotur,Nao possui,Masculino,Ensino medio completo,Casado (a),"De 2 a 4 salários (R$ 1.908,00 - R$ 3.816,00)",4,Baixo,Ensino Básico,,Outros,Sudeste,Adulto
34,34,Morador,35,Tchanzinho Zona Norte,Outros,2018-02-09 19:31:00,2018-02-09 19:37:00,0 days 00:06:18,46,Brasil,Minas Gerais,Belo Horizonte,Planalto,Norte,,,,,,,2,125.0,,70.0,,30.0,25.0,0.0,0.0,125.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,Nao respondeu,Superou,8.0,8.0,8.0,9.0,True,Retornara,True,False,False,False,,,,,,Outro,Nao possui,Feminino,Ensino superior incompleto,Viuvo (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",7,Baixo,Graduado,,Outros,Sudeste,Meia-idade
35,35,Morador,36,Tchanzinho Zona Norte,Outros,2018-02-09 19:34:00,2018-02-09 19:40:00,0 days 00:05:14,18,Brasil,Minas Gerais,Belo Horizonte,Planalto,Norte,,,,,,,6,200.0,,150.0,,50.0,0.0,0.0,0.0,200.0,1.0,Internet (site),Sim,Melhorou,Nao respondeu,Superou,10.0,5.0,7.0,10.0,True,Retornara,True,False,False,False,,,,,,Skol,Catuaba selvagem,Masculino,Ensino medio completo,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",7,Baixo,Ensino Básico,,Outros,Sudeste,Jovem adulto
36,36,Morador,37,Tchanzinho Zona Norte,Outros,2018-02-09 19:36:00,2018-02-09 19:45:00,0 days 00:08:52,17,Brasil,Minas Gerais,Belo Horizonte,Cidade Nova,Nordeste,,,,,,,3,50.0,,25.0,,25.0,0.0,0.0,0.0,50.0,1.0,Amigos/Familiares,Sim,Melhorou,Nao respondeu,Superou,6.0,8.0,6.0,8.0,True,Retornara,True,False,False,False,,,,,,Prefeitura,Nao possui,Masculino,Ensino medio completo,Solteiro (a),"Acima de 8 salários (acima de R$ 7.632,00)",8,Baixo,Ensino Básico,,Outros,Sudeste,Jovem adulto
37,37,Visitantes,38,Tchanzinho Zona Norte,Outros,2018-02-09 19:39:00,2018-02-09 19:48:00,0 days 00:08:28,27,Brasil,Minas Gerais,Passos,,,Sim,4.0,Casa de Amigos/Parentes,onibus rodoviario,Sim,Nao respondeu,5,500.0,0.0,500.0,50.0,0.0,0.0,0.0,0.0,550.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,"Nem melhorou, nem piorou",Nao respondeu,Indiferente,7.0,7.0,7.0,9.0,True,Retornara,True,False,False,False,False,False,False,False,False,Populaçao,Nao possui,Masculino,Ensino superior completo,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",6,Baixo,Graduado,Transporte Coletivo,Casa,Sudeste,Adulto
38,38,Morador,39,Tchanzinho Zona Norte,Outros,2018-02-09 19:46:00,2018-02-09 19:59:00,0 days 00:12:55,30,Brasil,Minas Gerais,Belo Horizonte,Nova Pampulha,Pampulha,,,,,,,3,320.0,,300.0,,20.0,0.0,0.0,0.0,320.0,1.0,Amigos/Familiares,Sim,Melhorou,Nao respondeu,Superou,1.0,5.0,1.0,1.0,True,Retornara,True,False,False,False,,,,,,Skol,Nao possui,Feminino,Ensino superior completo,Solteiro (a),"De 2 a 4 salários (R$ 1.908,00 - R$ 3.816,00)",3,Baixo,Graduado,,Outros,Sudeste,Adulto
39,39,Morador,40,Tchanzinho Zona Norte,Outros,2018-02-09 19:50:00,2018-02-09 19:57:00,0 days 00:07:15,27,Brasil,Minas Gerais,Contagem,Desconhecido,Desconhecido,,,,,,,6,1300.0,,500.0,,150.0,150.0,500.0,0.0,1300.0,2.0,Amigos/Familiares,Sim,Melhorou,Nao respondeu,Atendeu plenamente,7.0,9.0,8.0,9.0,True,Retornara,True,False,True,False,,,,,,Ambev,Prefeitura,Feminino,Ensino superior completo,Solteiro (a),"De 2 a 4 salários (R$ 1.908,00 - R$ 3.816,00)",4,Alto,Graduado,,Outros,Sudeste,Adulto
40,40,Morador,41,Tchanzinho Zona Norte,Outros,2018-02-09 19:55:00,2018-02-09 20:00:00,0 days 00:05:22,44,Brasil,Minas Gerais,Belo Horizonte,Santa Rosa,Pampulha,,,,,,,2,200.0,,200.0,,0.0,0.0,0.0,0.0,200.0,5.0,Jornais/Revistas,Nao,Nao respondeu,Nao respondeu,Superou,5.0,3.0,8.0,8.0,True,Retornara,True,False,False,False,,,,,,Skol,Nao possui,Masculino,Ensino superior completo,Casado (a),"Acima de 8 salários (acima de R$ 7.632,00)",11,Baixo,Graduado,,Outros,Sudeste,Meia-idade
41,41,Morador,42,Tchanzinho Zona Norte,Outros,2018-02-09 20:02:00,2018-02-09 20:09:00,0 days 00:06:57,23,Brasil,Minas Gerais,Belo Horizonte,Castelo,Pampulha,,,,,,,6,175.0,,130.0,,45.0,0.0,0.0,0.0,175.0,3.0,Amigos/Familiares,Sim,Piorou,Muita gente,Atendeu em parte,3.0,8.0,5.0,6.0,True,Retornara,True,False,False,False,,,,,,Nao sabe,Nao possui,Feminino,Ensino superior incompleto,Solteiro (a),"De 2 a 4 salários (R$ 1.908,00 - R$ 3.816,00)",4,Baixo,Graduado,,Outros,Sudeste,Jovem adulto
